id,title,url,revision,sha256,accessed,kind
s1,vllm-project/vllm-ascend / vllm_ascend/models/kimi_k3.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/models/kimi_k3.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,3d4ab1f3e6309e053375326fe6471b4b66b1aae078abc323c45d342bc5e33eaa,2026-09-19,固定源码 / 文档
s2,vllm-project/vllm-ascend / vllm_ascend/ops/kimi_kda.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/ops/kimi_kda.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,b36208b3a9a6fffb05c9437fdecaf62bb2af0e0a5be9edf0bab4f1bd5ab10617,2026-09-19,固定源码 / 文档
s3,vllm-project/vllm-ascend / vllm_ascend/ops/kimi_mla.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/ops/kimi_mla.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,d8299d0d268ea50c767792fc106ff8cb7d60e5b4276035a39436d635a62c6469,2026-09-19,固定源码 / 文档
s4,vllm-project/vllm-ascend / vllm_ascend/attention/mla_v1.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/attention/mla_v1.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,eabfeee563cd21009c3e1a65ede90c0bb4a28addd5d33f8cf9ef5769f9d6489a,2026-09-19,固定源码 / 文档
s5,vllm-project/vllm-ascend / vllm_ascend/ops/triton/kimi_k3/attention_residual.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/ops/triton/kimi_k3/attention_residual.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,655f5880b43100a28c11869d19468716c7669a65374ecc05c0211a713df31714,2026-09-19,固定源码 / 文档
s6,vllm-project/vllm-ascend / vllm_ascend/quantization/methods/w4a8/w4a8.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/quantization/methods/w4a8/w4a8.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,f3a8cdd205719453606fa106d47c1e556ef40d2ee4046869a029d5f12a3b6de9,2026-09-19,固定源码 / 文档
s7,vllm-project/vllm-ascend / vllm_ascend/quantization/methods/w4a8/w4a8_mxfp4.py,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/vllm_ascend/quantization/methods/w4a8/w4a8_mxfp4.py,e139b7d573d3769fd1407d5027d7d4831f5469f0,f3b72ea7f144ffcf6180dc04fea7b4d9e1f65abdb59acd92e1d100ef3ba1c305,2026-09-19,固定源码 / 文档
s8,vllm-project/vllm-ascend / csrc/attention/chunk_kda_fwd/docs/design.md,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/csrc/attention/chunk_kda_fwd/docs/design.md,e139b7d573d3769fd1407d5027d7d4831f5469f0,35403dc73ff39d69bcb95c5c06ce32a02170fa85f032ae97265a20f6109e13d7,2026-09-19,固定源码 / 文档
s9,vllm-project/vllm-ascend / csrc/attention/chunk_kda_fwd/docs/api.md,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/csrc/attention/chunk_kda_fwd/docs/api.md,e139b7d573d3769fd1407d5027d7d4831f5469f0,81e7f3ddd3c291dc7875c5a4da213ee58a691d18ebc67fdcf6a7e403aaa16f39,2026-09-19,固定源码 / 文档
s10,vllm-project/vllm-ascend / Dockerfile.a3,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/Dockerfile.a3,e139b7d573d3769fd1407d5027d7d4831f5469f0,c2375f272f9dcbdbf7c3e6d6a0317731bdfafc938a706acded68ef4e5d145d74,2026-09-19,固定源码 / 文档
s11,vllm-project/vllm-ascend / .github/vllm-main-verified.commit,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/.github/vllm-main-verified.commit,e139b7d573d3769fd1407d5027d7d4831f5469f0,eb6375d3712221dc75f1eed602afd523213a6ed6fd4f8ab56cc655cdc71503cc,2026-09-19,固定源码 / 文档
s12,vllm-project/vllm-ascend / docs/source/tutorials/models/Kimi-K3.md,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/docs/source/tutorials/models/Kimi-K3.md,e139b7d573d3769fd1407d5027d7d4831f5469f0,a3aa5a5b29269da252aa7b13c04271cafe607cd929270bd3a8bd35eea79eda88,2026-09-19,固定源码 / 文档
s13,vllm-project/vllm-ascend / docs/source/tutorials/models/Kimi-K2.5.md,https://github.com/vllm-project/vllm-ascend/blob/e139b7d573d3769fd1407d5027d7d4831f5469f0/docs/source/tutorials/models/Kimi-K2.5.md,e139b7d573d3769fd1407d5027d7d4831f5469f0,3975ae3cb921cc367c9bd73e8d54456c718eb6cfef61e49b3023d8b4db80c692,2026-09-19,固定源码 / 文档
s14,vllm-project/vllm / vllm/models/kimi_k3/nvidia/kda.py,https://github.com/vllm-project/vllm/blob/4cc15f2121b3421478f3186aac38de901b4a44ef/vllm/models/kimi_k3/nvidia/kda.py,4cc15f2121b3421478f3186aac38de901b4a44ef,572a4f66fc5e0a74ee1f01720c2947dd2ec255355a98ad888f341e5bf7927d30,2026-09-19,固定源码 / 文档
